trial_num,id,condition,condition_code,word_count,target_word,sentence,correct_answer
30,S161,svo_b_neut,20,12,3,Περπατούσε στη βροχή χωρίς ομπρέλα και το λεωφορείο τον έσωσε τον Χάρη,
31,S277,svo_ba_neut,20,15,3,Όταν πήγε στην Ισπανία το αντηλιακό την προστάτεψε την Ελένη επειδή είχε πάρα πολύ ήλιο,
32,S041,ovs_a,10,13,3,Το κτίριο το φυλάει ένας φρουρός τα βράδια για να μη μπει κανείς,
33,S048,ovs_a,10,14,3,Το λάθος το έκανε η Όλγα επειδή δεν κατάλαβε τι της είπα στο τηλέφωνο,
34,S210,svo_a_neut,20,12,3,Το κρύο την ξύπνησε τη Ρέα και σηκώθηκε να κλείσει το παράθυρο,
35,S101,ovs_ba,10,13,3,Όταν πήγαμε διακοπές πέρσι το πλοίο το σιχάθηκε ο Μιχάλης επειδή κουνούσε πολύ,
36,S106,ovs_ba,10,14,3,Όσο κοιμόμασταν το πάπλωμα το τράβηξε ο Μάριος στη μεριά του και εγώ ξεπάγιασα,
37,S208,svo_a_neut,20,11,3,Το ατύχημα τον αναστάτωσε τον Κυριάκο και δεν μπορούσε να ηρεμήσει,
38,S335,f_ungrammatical,40,13,3,Η Μελίνα πήγε πρώτα στον γιατρό και μετά στο παστίτσιο γιατί πεινούσε πολύ,
39,S269,svo_ba_neut,20,15,3,Όταν έφευγε από τη δουλειά το ασανσέρ την τρόμαξε την Αγγελική γιατί έκανε παράξενους ήχους,
40,S031,ovs_a,10,12,3,Το δεκάρικο το έχασε ο Μάκης σήμερα το πρωί στο σούπερ μάρκετ,
41,S113,ovs_ba,10,16,3,Επειδή της αρέσουν πολύ τα Χριστούγεννα το δέντρο το στόλισε η Άννα ήδη από τον Νοέμβριο,
42,S033,ovs_a,10,13,3,Το σακίδιο το γέμισε ο ανιψιός μου με παιχνίδια από το καινούριο μαγαζί ,
43,S203,svo_a_neut,20,11,3,Το τεστ τον μπέρδεψε τον Μάριο γιατί έπεσαν θέματα εκτός ύλης,
44,S199,svo_b_neut,20,15,3,Δεν πρόλαβε να φάει τίποτα άλλο όλη μέρα και το πιτόγυρο την ξετρέλανε την Άννα,
45,S271,svo_ba_neut,20,15,3,Ενώ μάζευε το τραπέζι το πιάτο τον έκαψε τον Σταύρο γιατί ήταν ακόμα πολύ ζεστό,
46,S386,f_svoba_masc,40,16,3,Είχε καιρό να γυμναστεί και ο διάδρομος την κούρασε την Έφη και λαχάνιασε σε πέντε λεπτά,
47,S228,svo_a_neut,20,13,3,Το φάρμακο τη ζάλισε τη Μάγδα και αναγκάστηκε να ξαπλώσει για να ηρεμήσει,
48,S178,svo_b_neut,20,13,3,Κοιμήθηκε πολύ αργά χτες το βράδυ και το ξυπνητήρι την ενόχλησε τη Γιώτα,
49,S131,ovs_ba,10,14,3,Άργησα να ξυπνήσω επειδή το ξυπνητήρι το έκλεισε η μητέρα μου όταν το άκουσε,
50,S390,f_svoba_masc,40,19,3,Τα μακαρόνια ήταν έτοιμα με το που ήρθες επειδή ο βραστήρας το έβρασε το νερό μέσα σε πέντε λεπτά ,
51,S030,ovs_a,10,12,3,Το δωμάτιο το καθάρισε το προσωπικό του ξενοδοχείου όσο ήμουν στην πισίνα,
52,S086,ovs_b,10,14,3,Φορούσα ακουστικά και δεν άκουσα το κουδούνι οπότε το θυροτηλέφωνο το απάντησε η Γιώτα,
53,S180,svo_b_neut,20,13,3,Δεν είχε τελειώσει ακόμα το διαγώνισμα και το κουδούνι την άγχωσε την Ελευθερία,
54,S374,f_ovsba_fem,40,18,3,Ο Δημήτρης φοβάται πάρα πολύ τα έντομα και την αράχνη τη σκότωσε ο Κωνσταντίνος που δεν έχει θέμα,
55,Q_S374,f_ovsba_fem,50,18,3,Ο Δημήτρης φοβάται το σκοτάδι?,ΌΧΙ
55,S087,ovs_b,10,14,3,Δεν ήξερα πώς να φτιάξω τον υπολογιστή και το πρόβλημα το έλυσε ο τεχνικός,
56,S310,f_passive,40,13,3,Ο Χάρης ξαφνιάστηκε από τον αδερφό του που γύρισε απρόσμενα από την Αγγλία,
57,S350,f_ovsa_masc,40,14,3,Τον τοίχο τον έβαψε η Ελένη μόνη της επειδή είχε πολύ χρόνο στις διακοπές,
58,S097,ovs_b,10,15,3,Έλειπα από το σπίτι όταν ήρθε ο ταχυδρόμος και το πακέτο το παρέλαβε ο γείτονας,
59,S214,svo_a_neut,20,12,3,Το ανέκδοτο την εκνεύρισε τη Χριστίνα γιατί το θεώρησε αγενές και προσβλητικό,
60,S349,f_ovsa_masc,40,12,3,Τον θερμοσίφωνα τον έκλεισε ο Χάρης πριν λίγο γιατί εγώ το ξέχασα,
61,S091,ovs_b,10,14,3,Δεν πρόλαβα να πάω στο ταχυδρομείο και το γράμμα το έστειλε ο πατέρας μου,
62,S325,f_cleft,40,14,3,Ήταν ο Λευτέρης που μας έδειξε αυτή την ταινία που πλέον βλέπουμε κάθε χρόνο,
63,S313,f_passive,40,14,3,Το τσαντάκι μου σκίστηκε από το βάρος των βιβλίων που κουβαλούσα για το πανεπιστήμιο,
64,S114,ovs_ba,10,16,3,Επειδή ήμουν στο σούπερ μάρκετ το φαγητό το μαγείρεψε η Ελένη τελικά και βγήκε πολύ νόστιμο,
65,S135,ovs_ba,10,15,3,Η Ελπίδα πήγε στο πανεπιστήμιο και το μάθημα το έκανε η καθηγήτρια τελικά στο zoom ,
66,S400,f_svob_fem,40,17,3,Είχε ξεχάσει ότι την γέμισε μέχρι πάνω με ζεστό καφέ και η κούπα τον έκαψε τον Νίκο ,
67,S080,ovs_b,10,13,3,Δεν πρόλαβα να τελειώσω την αναφορά και το κείμενο το ολοκλήρωσε ο Αλέξανδρος,
68,S107,ovs_ba,10,15,3,Όλο το καλοκαίρι ζεσταινόμασταν επειδή το κλιματιστικό το εγκατέστησε ο Γιώργος και δε λειτουργούσε σωστά,
69,S371,f_ovsba_fem,40,16,3,Έκανε δίαιτα πολύ καιρό και την τούρτα τη λιγουρεύτηκε ο Γιάννης στο πάρτυ γενεθλίων που πήγε,
70,S288,svo_ba_neut,20,17,3,Κοιμήθηκε πολύ αργά χτες και το τρυπάνι την ενόχλησε την Ευτυχία το πρωί που ήθελε να ξεκουραστεί,
71,S043,ovs_a,10,13,3,Το πρόβλημα το έλυσε η Λίτσα όταν ζήτησε βοήθεια από τη φίλη της,
72,S297,svo_ba_neut,20,18,3,Όταν έβγαλε το φαΐ από το φούρνο το ταψί τον έκαψε τον Πέτρο γιατί ξέχασε να βάλει γάντια,
73,S015,ovs_a,10,11,3,Το βάζο το έσπασε η γάτα όταν ανέβηκε πάνω στο τραπέζι ,
74,S096,ovs_b,10,15,3,Εγώ δεν έχω άποψη για τη μόδα και το παπούτσι το διάλεξε η φίλη μου,
75,S201,svo_a_neut,20,10,3,Το σαμπουάν την αηδίασε τη Γεωργία γιατί μύριζε πολύ άσχημα,
76,S088,ovs_b,10,14,3,Ήμουν κολλημένος στην κίνηση για μία ώρα και το φαγητό το μαγείρεψε η Ξένια,
77,S112,ovs_ba,10,16,3,Η Νικολέτα ήταν στο μπάνιο και το τηλέφωνο το απάντησε η ξαδέρφη της γιατί χτύπαγε επίμονα,
78,S037,ovs_a,10,13,3,Το γράμμα το έγραψε η δασκάλα για να έρθουν οι γονείς στην εκδήλωση,
79,S092,ovs_b,10,14,3,Ο καθηγητής είχε μια σημαντική συνάντηση και το διαγώνισμα το μοίρασε η βοηθός του,
80,S032,ovs_a,10,12,3,Το τσιγάρο το έκοψε ο Μιχάλης επειδή άρχισε να βήχει κάθε μέρα,
81,S396,f_svob_fem,40,11,3,Ήταν συγκεντρωμένη στο διάβασμα και η μηχανή την τρόμαξε την Ελευθερία,
82,Q_S396,f_svob_fem,50,11,3,Η μηχανή τρόμαξε την Ελευθερία?,ΝΑΙ
82,S298,svo_ba_neut,20,18,3,Πέρσι δεν είχαμε χρόνο στα γενέθλιά του οπότε φέτος το πάρτι τον ξάφνιασε τον Γρηγόρη και χάρηκε πολύ,
83,S245,svo_a_neut,20,15,3,Το κουδούνι την τρόμαξε τη Βίκυ ενώ μαγείρευε και της έπεσε η κουτάλα στο πάτωμα,
84,S387,f_svoba_masc,40,16,3,Της άρεσε πάντα να τρέχει και ο στοίβος την ενθουσίασε την Ειρήνη από όταν ήταν μικρή ,
85,S059,ovs_b,10,11,3,Σύμφωνα με τον παλιό μύθο το χωριό το ονόμασε ο Δίας,
86,S003,ovs_a,10,11,3,Το καλοκαίρι το προτιμά ο Βασίλης επειδή κάθε χρόνο πάει διακοπές,
87,S296,svo_ba_neut,20,18,3,Δεν κοιμήθηκε καλά το βράδυ και το μάθημα τη ζόρισε την Πόπη γιατί έκλειναν συνέχεια τα μάτια της,
88,S365,f_ovsa_fem,40,16,3,Την φούστα την κόντυνε η γιαγιά μου επειδή μου ήταν πολύ μακριά και δεν μου άρεσε,
89,S220,svo_a_neut,20,13,3,Το παυσίπονο την ανακούφισε τη Δήμητρα που είχε πονοκέφαλο εδώ και μία ώρα,
90,S260,svo_ba_neut,20,14,3,Μόλις άνοιξε τον υπολογιστή το email τον σόκαρε τον Αντώνη με αυτά που έγραφε,
91,S141,ovs_ba,10,19,3,Όσο η Μάγδα διάβαζε για το τεστ το tablet το πήρε η Γιάννα για να δει βίντεο με ακουστικά,
92,S327,f_cleft,40,14,3,Ήταν ο Πέτρος που με κόλλησε και τώρα έχω πυρετό και συνάχι όλη μέρα,
93,S378,f_svoa_masc,40,16,3,Ο πίνακας τον συγκίνησε τον Γιώργο επειδή του θύμισε κάποια γεγονότα από την παιδική του ηλικία,
94,S219,svo_a_neut,20,12,3,Το καφεδάκι τη χαλάρωσε τη Νικολέτα που είχε πολύ στρες όλη μέρα,
95,S094,ovs_b,10,15,3,Δεν είχα χρόνο να πάω για ψώνια και το δώρο το αγόρασε η αδερφή μου,
96,S118,ovs_ba,10,16,3,Όταν μπήκαμε στο αεροπλάνο το σακίδιο το έβαλε η Ξένια κάτω από το μπροστινό της κάθισμα,
97,S102,ovs_ba,10,13,3,Τώρα που μπήκε το καλοκαίρι το πάπλωμα το ανέβασε ο Γιάννης στη σοφίτα,
98,S019,ovs_a,10,11,3,Το φαγητό το ετοίμασα από χτες επειδή σήμερα δεν έχω χρόνο,
99,S254,svo_ba_neut,20,13,3,Όταν κάθισε στον καναπέ το μαξιλάρι τον αηδίασε τον Στέφανο γιατί μύριζε άσχημα,
100,S248,svo_a_neut,20,15,3,Το λάδι την έκαψε τη Σταυρούλα όσο τηγάνιζε και τώρα έχει μια πληγή στο χέρι,
101,S329,f_cleft,40,15,3,Ήταν ο Σπύρος που μου είπε ότι είδε τη Χριστίνα στο κέντρο με καινούριο κούρεμα,
102,S267,svo_ba_neut,20,14,3,Όσο τακτοποιούσε την αποθήκη το χαρτόκουτο τη δυσκόλεψε τη Μαριλένα γιατί ήταν πολύ βαρύ,
103,S098,ovs_b,10,15,3,Έπρεπε να φύγω νωρίτερα από τη δουλειά οπότε το συνέδριο το ηχογράφησε η βοηθός μου,
104,S158,svo_b_neut,20,12,3,Ζορίστηκε πολύ στη δουλειά σήμερα και το διάλειμμα τη χαλάρωσε τη Στέλλα ,
105,S122,ovs_ba,10,17,3,Ο Νίκος έλειπε από το σπίτι και το παράθυρο το έκλεισε η Άννα πριν αρχίσει η καταιγίδα,
106,S397,f_svob_fem,40,13,3,Έπεσε κάτω όσο έτρεχε στην αυλή και η λάσπη τον λέρωσε τον μικρό ,
107,S117,ovs_ba,10,16,3,Με το που άρχισε να βρέχει το παράθυρο το έκλεισε ο Χάρης γιατί φοβάται τους κεραυνούς,
108,S392,f_svoa_fem,40,14,3,Η τηλεόραση τον μπέρδεψε τον παππού μου γιατί δεν μπορούσε να βρει τα κανάλια,
109,Q_S392,f_svoa_fem,50,14,3,Ο παππούς μπορούσε να βρει τα κανάλια?,ΌΧΙ
109,S057,ovs_b,10,12,3,Ήμουν πάρα πολύ αγχωμένη και το γράμμα το άνοιξε η μαμά μου,
110,S308,f_passive,40,13,3,Η μέση μου γιατρεύτηκε από την φυσιοθεραπεύτρια που μου έκανε μασάζ κάθε εβδομάδα,
111,S184,svo_b_neut,20,13,3,Ο καινούριος καθηγητής είναι πολύ αυστηρός και το μάθημα τον ζόρισε τον Νίκο,
112,S383,f_svob_masc,40,14,3,Το φαγητό θέλει ακόμα πολλή ώρα και ήδη ο απορροφητήρας τον ζάλισε τον Δημήτρη ,
113,S078,ovs_b,10,13,3,Η Νίκη είναι ανήλικη ακόμα και το δικαιολογητικό το συμπλήρωσε η μαμά της,
114,S323,f_cleft,40,14,3,Ήταν η Άννα που δεν μπορούσε να βρει τι να φορέσει στην αποφοίτησή της,
115,S089,ovs_b,10,14,3,Χάλασε ο εκτυπωτής μου χτες το πρωί και το έγγραφο το εκτύπωσε ο Μάκης,
116,S039,ovs_a,10,13,3,Το λουλούδι το πότισε η μαμά σήμερα το πρωί για να μην ξεραθεί,
117,S002,ovs_a,10,10,3,Το σχολείο το τελείωσε η Λία με πολύ καλούς βαθμούς,
118,S079,ovs_b,10,13,3,Έχασα την κάρτα μου στο μετρό και το εισιτήριο το πλήρωσε η Ειρήνη,
119,S340,f_ungrammatical,40,14,3,Το σπίτι το καθαρίζω μαζί με τον συγκάτοικό μου τουλάχιστον μια φορά την εβδομάδας,
120,S356,f_ovsba_masc,40,15,3,Τον γύρο τον παρήγγηλε η Μαριάννα πριν από μία ώρα αλλά δεν έχει έρθει ακόμα,
121,S063,ovs_b,10,12,3,Σήμερα το πρωί βιαζόμουν πολύ και το κρεβάτι το έστρωσε η μαμά,
122,S157,svo_b_neut,20,11,3,Είχε πολλή ζέστη σήμερα και το γυμναστήριο την κούρασε την Ηλιάνα,
123,S040,ovs_a,10,13,3,Το βραχιόλι το έδωσε η θεία μου στη μαμά μου πριν δέκα χρόνια,
124,S246,svo_a_neut,20,15,3,Το γλυκό την αηδίασε τη Βάσω γιατί ήταν με καρύδα που δεν της αρέσει καθόλου,
125,S375,f_ovsba_fem,40,19,3,Στον Βασίλη δεν αρέσουν τα θρίλερ και την ταινία την είδε η Ηλιάνα μόνη της στο σινεμά χτες βράδυ,
126,S230,svo_a_neut,20,13,3,Το κείμενο την μπέρδεψε τη Μαρίνα γιατί είχε δύσκολες λέξεις και περίπλοκες προτάσεις,
127,S299,svo_ba_neut,20,18,3,Δεν είχαμε ξαναπάει σε αυτό το μαγαζί και το επιδόρπιο τον ξετρέλανε τον Νίκο και το έφαγε όλο,
128,S148,ovs_ba,10,20,3,Πριν φύγω από το γραφείο το έγγραφο το υπέγραψε το αφεντικό μου διακριτικά για να μην το δουν οι άλλοι,
129,S140,ovs_ba,10,18,3,Όταν μπήκα στην κουζίνα είδα ότι το ψυγείο το άφησε η Χριστίνα ανοιχτό και ζεστάθηκαν όλα τα φαγητά,
130,S052,ovs_b,10,11,3,Επειδή εμένα μου ήταν φαρδύ το φουστάνι το φόρεσε η Χριστίνα,
131,S065,ovs_b,10,12,3,Ο Νίκος κοιμόταν το μεσημέρι και το τηλέφωνο το απάντησε ο μπαμπάς,
132,S028,ovs_a,10,12,3,Το στυλό το πέταξε ο Δημήτρης στα σκουπίδια όταν τελείωσε το μελάνι,
133,S139,ovs_ba,10,14,3,Μόλις τέλειωσα την εργασία το αρχείο το αποθήκευσε η ξαδέρφη μου στον υπολογιστή της,
134,S393,f_svoa_fem,40,14,3,Η λάμπα την τύφλωσε τη Μαρίνα επειδή την άναψαν ξαφνικά ενώ κοιμόταν στο σαλόνι,
135,S382,f_svob_masc,40,13,3,Όταν είδαμε νερά στους τοίχους συνειδητοποιήσαμε ότι ο σωλήνας την έκανε τη ζημιά ,
136,Q_S382,f_svob_masc,50,13,3,Ο σωλήνας έκανε τη ζημιά?,ΝΑΙ
136,S331,f_ungrammatical,40,12,3,Είδαμε την κυρία Μαρία στην παιδική χαρά με τα εγγόνια του χτες,
137,S289,svo_ba_neut,20,17,3,Την τελευταία μέρα στο σχολείο το κουδούνι τον συγκίνησε τον Λεωνίδα και δάκρυσε βγαίνοντας από την αίθουσα,
138,S351,f_ovsb_masc,40,13,3,Το ξέχασα εγώ χθες το βράδυ και τον σκουπιδοτενεκέ τον άδειασε η Ιωάννα ,
139,S270,svo_ba_neut,20,15,3,Όταν άνοιξε το ντουλάπι το κουτί τον τρόμαξε τον Λάμπρο γιατί έπεσε ξαφνικά πάνω του,
140,S150,ovs_ba,10,18,3,Είχε πολλή ζέστη έξω και το παγωτό το έφαγε ο Βασίλης πριν βγει βόλτα για να μη λιώσει,
141,S090,ovs_b,10,14,3,Δεν ήθελα να πάω στην παράσταση γιατί το σενάριο το έγραψε ο πρώην μου,
142,S250,svo_a_neut,20,16,3,Το ποτήρι τον έκαψε τον Δημήτρη γιατί το έπιασε χωρίς να προσέξει ότι είχε μέσα τσάι,
143,S276,svo_ba_neut,20,15,3,Όταν πήγε στο γραφείο το κάθισμα τον παραξένεψε τον Στέφανο γιατί κάποιος το είχε χαμηλώσει,
144,S173,svo_b_neut,20,12,3,Είχε δουλέψει πολλές ώρες τελευταία και το τριήμερο την ξεκούρασε τη Γιάννα,
145,S076,ovs_b,10,13,3,Πήρα το λεωφορείο σήμερα το πρωί επειδή το ποδήλατο το χάλασε η Δέσποινα,
146,S326,f_cleft,40,14,3,Ήταν ο Χρήστος που έμαθε Γερμανικά σε έναν χρόνο για να πάει να δουλέψει,
147,S123,ovs_ba,10,17,3,Πριν ξεκινήσει η παράσταση το εισιτήριο το εκτύπωσε η Άννα στο σπίτι της για να είναι σίγουρη,
148,S286,svo_ba_neut,20,17,3,Διάβαζε το βιβλίο της στην παραλία και το τέλος την ξενέρωσε τη Δήμητρα γιατί ήταν πολύ απότομο,
149,S121,ovs_ba,10,17,3,Ενώ η Δέσποινα μιλούσε στο τηλέφωνο το φαγητό το ετοίμασε η Ρένα για να φάμε όλοι μαζί,
150,S116,ovs_ba,10,16,3,Πριν φύγουμε από το σπίτι το κλιματιστικό το έκλεισε ο Μιχάλης για να μη σπαταλήσουμε ρεύμα,
151,S128,ovs_ba,10,17,3,Όσο ετοίμαζα τη σαλάτα το ψωμί το έκοψε η Μαριάνα σε φέτες και το μοίρασε στα πιάτα,
152,S287,svo_ba_neut,20,17,3,Όταν κάθισε στο αυτοκίνητο το κάθισμα τον ενόχλησε τον Άρη γιατί κάποιος το είχε πάει πιο πίσω,
153,S167,svo_b_neut,20,12,3,Έτρεχε να προλάβει το λεωφορείο και το φανάρι τον καθυστέρησε τον Μιχάλη,
154,S344,f_ungrammatical,40,15,3,Ο Νίκος ανέβηκε τη σκάλα τρέχοντας για να προλαβαίνει το μάθημα που είχε ήδη ξεκινήσει,
155,S177,svo_b_neut,20,13,3,Δεν ήξερε τι να περιμένει και τελικά το γράμμα τη συγκίνησε τη Μαρίνα,
156,S160,svo_b_neut,20,12,3,Περίμενε νέα από τον γιατρό και το τηλεφώνημα τον άγχωσε τον Γιώργο,
157,S185,svo_b_neut,20,13,3,Φοβόταν να ξαναπάει στον γιατρό επειδή πέρσι το εμβόλιο τον πόνεσε τον Γιαννάκη,
158,S234,svo_a_neut,20,13,3,Το μεσημεριανό την ξενέρωσε τη Βάσια επειδή ήταν φασολάδα που δεν της αρέσει,
159,S232,svo_a_neut,20,13,3,Το γράμμα την μπέρδεψε τη Ντίνα γιατί ήταν δεν ήξερε ποιος το έστειλε,
160,S316,f_cleft,40,11,3,Ήταν η Κατερίνα που αποφάσισε να βάψουμε το σαλόνι σκούρο πράσινο,
161,S152,svo_b_neut,20,11,3,Είχε παρέλαση σήμερα έξω και το αεροπλάνο τον ξεκούφανε τον Θάνο,
162,S367,f_ovsb_fem,40,14,3,Δεν είχα άλλη μπαταρία στο κινητό και τη φωτογραφία την ανέβασε η κολλητή μου,
163,Q_S367,f_ovsb_fem,50,14,3,Τη φωτογραφία την ανέβασε η κολλητή μου?,ΝΑΙ
163,S115,ovs_ba,10,16,3,Την ώρα που δούλευα το τηλέφωνο το σήκωσε η συνάδελφος δίπλα μου για να μην ενοχληθώ,
164,S321,f_cleft,40,13,3,Ήταν η Βάσω που πήρε το πρώτο βραβείο στον διαγωνισμό φυσικής του σχολείου,
165,S306,f_passive,40,12,3,Η μηλιά αυτή φυτεύτηκε από την προγιαγιά μου όταν πρωτοήρθε στο χωριό,
166,S346,f_ovsa_masc,40,11,3,Τον σκούφο τον αγόρασε η Φανή από το Χριστουγεννιάτικο παζάρι πέρσι,
167,S333,f_ungrammatical,40,13,3,Ήταν η Βάσια που ξεκίνησε να μαθαίνω Ιταλικά πριν πάει διακοπές στη Ρώμη,
168,S239,svo_a_neut,20,14,3,Το τραγούδι τον εκνεύρισε τον Άγγελο επειδή είχε κολλήσει στο ίδιο σημείο πολλή ώρα,
169,S010,ovs_a,10,11,3,Το αμάξι το καθάρισε ο πατέρας μου πριν πάει στη Αθήνα,
170,S402,f_svoba_fem,40,15,3,Όσο προσπαθούσε να δει την ταινία η οθόνη την ζάλισε τη Σοφία γιατί τρεμόπαιζε συνέχεια ,
171,S172,svo_b_neut,20,12,3,Δεν είχε διαβάσει πολύ καλά και το τεστ τον άγχωσε τον Πέτρο,
172,S339,f_ungrammatical,40,14,3,Ο Κώστας ρώτησε τις προάλλες γιατί δεν τον κάλεσες στο πάρτι που έκανες αύριο,
173,S293,svo_ba_neut,20,18,3,Διάβαζε για το τεστ και το έργο στην τηλεόραση την απέσπασε τη Νίκη και δεν μπόρεσε να συγκεντρωθεί,
174,S347,f_ovsa_masc,40,12,3,Τον καναπέ τον αγόρασε ο Μάριος  από ένα καινούριο μαγαζί στο κέντρο,
175,S070,ovs_b,10,14,3,Επειδή η μαμά ήταν στη δουλειά μέχρι αργά το βίντεο το τράβηξε ο μπαμπάς,
176,S226,svo_a_neut,20,13,3,Το τζάκι το ζέστανε το σαλόνι πολύ γρήγορα και έβγαλα τη ζακέτα μου,
177,S224,svo_a_neut,20,9,3,Το ανέκδοτο τον ενθουσίασε τον Γιώργο και γέλασε δυνατά,
178,S099,ovs_b,10,15,3,Με ενοχλούσε το στομάχι μου μετά το φαγητό και το γλυκό το έφαγε ο Σπύρος,
179,S370,f_ovsb_fem,40,18,3,Η Άννα δεν ήξερε πώς να πλύνει μάλλινα ρούχα και τελικά τη ζακέτα την έπλυνε η μαμά της ,
180,S082,ovs_b,10,14,3,Δεν είχα χρόνο να πάω στο ταχυδρομείο και το δέμα το έστειλε η Ελένη,
181,S354,f_ovsb_masc,40,15,3,Ήταν άρρωστη η μετεωρολόγος του καναλιού σήμερα και τον καιρό τον είπε ο βοηθός της,
182,S136,ovs_ba,10,18,3,Όσο ο Γιάννης μιλούσε με τον υδραυλικό το ντουλάπι το άδειασε η Μυρτώ για να βρουν τη διαρροή,
183,S357,f_ovsba_masc,40,17,3,Η κυρία Μάρω έσπασε το χέρι της και τον κήπο τον φρόντισε ο Μιχάλης για μερικούς μήνες,
184,S050,ovs_a,10,14,3,Το πτυχίο το πήρε ο Μάριος πριν από μερικούς μήνες και ήδη βρήκε δουλειά,
185,S292,svo_ba_neut,20,18,3,Με το που ξεκίνησε η ταινία το φως την ενόχλησε την Ιωάννα και σηκώθηκε να τραβήξει την κουρτίνα,
186,S095,ovs_b,10,15,3,Ξέχασα το πιάτο μου πάνω στο τραπέζι και το φαγητό το έφαγε ο σκύλος μου,
187,S272,svo_ba_neut,20,15,3,Με το που βγήκε στο μπαλκόνι το αεράκι τη δρόσισε τη Νάσια και ένιωσε καλύτερα,
